name,isosig,finite,fillings,betti
X_120,lLAvPAPPcbcbhgffijkkkhhjaahnqqqxh_aBba,[],"{(1, 2): 't09831(5, 4)', (-1, 1): 'v2334(5, 1)', (3, 1): 'o9_39376(4, 1)', (3, 2): 'o9_40795(-1, 4)', (-1, 2): 'o9_37815(5, 1)', (-2, 1): 'o9_35678(4, 1)', (2, 1): 't08858(1, 4)', (1, 3): 'o9_40913(-1, 4)', (2, 3): 'o9_41445(-1, 4)'}",1
X_121,lLAvPMzQcbcbgfhijkijkxxjxxqxhqnwn_BbBa,[],"{(1, 2): 'o9_32163(-5, 1)', (-1, 3): 'o9_33126(-1, 5)', (-2, 3): 'o9_33186(4, 5)', (2, 1): 'o9_32309(-5, 1)', (-3, 1): 'o9_34442(4, 1)', (-3, 2): 'o9_34471(4, 1)'}",1
X_122,lLLALLQPcccedfjhijkkkhwxrcaaxvxem_baab,"[(1, 0)]","{(0, 1): 'v2656(-5, 2)', (-1, 1): 'o9_29115(1, 2)', (3, 1): 'o9_43120(3, 2)', (-2, 1): 'o9_41414(-3, 1)', (2, 1): 't12383(-3, 2)', (1, 0): 'finite', (1, 1): 'v3086(3, 2)'}",1
X_123,lLLALvQQcbedehijjkkikhhfuwpimumrk_baab,"[(1, 0)]","{(0, 1): 't07403(1, 3)', (-1, 1): 't11273(3, 1)', (-2, 1): 'o9_39376(3, 1)', (2, 1): 't09384(-1, 3)', (1, 0): 'finite', (1, 1): 's460(-5, 2)'}",1
X_124,lLLALzMQcbdedfgikijkkdoagkfpqkoxh_abBa,"[(1, 0)]","{(0, 1): 'm147(-5, 2)', (-1, 1): 's840(-3, 1)', (3, 1): 't12119(3, 1)', (-2, 1): 'o9_29247(3, 1)', (2, 1): 'v3433(-3, 1)', (1, 0): 'finite', (4, 1): 'o9_39376(3, 1)', (1, 1): 'v2302(3, 1)'}",1
X_125,lLLLALQMccdggeihihjkkhshqtalirwhr_abBb,[],"{(-3, 1): 'o9_41036(-5, 3)', (-2, 1): 't10918(-5, 3)', (-3, 2): 'o9_42876(3, 5)'}",1
X_126,lLLLAPLQcbefgfiihjjkkhhihihajeskj_baab,[],"{(1, 2): 'o9_42869(2, 3)', (-2, 3): 'o9_42832(2, 3)', (-2, 1): 't09213(3, 2)', (-1, 3): 'o9_42770(2, 3)', (-1, 2): 't09893(2, 3)', (2, 1): 'o9_42876(2, 3)', (-3, 1): 'o9_42542(-3, 2)', (-3, 2): 'o9_42619(-3, 2)', (1, 1): 't07670(5, 1)'}",1
X_127,lLLLAPzQccdffgfhijjkklceilrajfjhj_bBba,"[(1, 0)]","{(0, 1): 't09458(-2, 3)', (-1, 1): 't11760(-3, 2)', (1, 0): 'finite', (1, 1): 't10529(-5, 3)', (-2, 1): 'o9_41414(-3, 2)'}",1
X_128,lLLLAvQQcacfgehjijkkknkgkgxqwfofr_bBba,[],"{(1, 2): 'o9_42106(1, 3)', (-1, 1): 's786(-1, 3)', (3, 1): 'o9_41315(-4, 3)', (-1, 2): 'o9_39328(-1, 3)', (-2, 1): 't11833(-4, 1)', (2, 1): 't12170(4, 3)', (-3, 1): 'o9_40715(4, 1)', (1, 1): 'v2575(-1, 3)'}",1
X_129,lLLLAvQQccdegekijjikkqrutqulrfgvb_bBba,[],"{(0, 1): 's119(4, 1)', (-1, 1): 'v2846(-1, 3)', (1, 1): 'm222(-3, 2)', (2, 1): 'o9_43381(-1, 2)', (-2, 1): 'o9_41414(-3, 2)'}",1
